participant_id,folder_name,timestamp_raw,timestamp_iso,source_json,source_json_full_path,source_enem_blocks,source_enem_blocks_full_path,age_raw,age_analysis_value,age_status,age_expected_visible,age_validation_flags,age_numeric,country_of_birth_raw,country_of_birth_analysis_value,country_of_birth_status,country_of_birth_expected_visible,country_of_birth_validation_flags,nationality_raw,nationality_analysis_value,nationality_status,nationality_expected_visible,nationality_validation_flags,years_in_luxembourg_raw,years_in_luxembourg_analysis_value,years_in_luxembourg_status,years_in_luxembourg_expected_visible,years_in_luxembourg_validation_flags,years_in_luxembourg_numeric,gender_raw,gender_analysis_value,gender_status,gender_expected_visible,gender_validation_flags,first_language_raw,first_language_analysis_value,first_language_status,first_language_expected_visible,first_language_validation_flags,other_languages_raw,other_languages_analysis_value,other_languages_status,other_languages_expected_visible,other_languages_validation_flags,affiliation_raw,affiliation_analysis_value,affiliation_status,affiliation_expected_visible,affiliation_validation_flags,department_unit_raw,department_unit_analysis_value,department_unit_status,department_unit_expected_visible,department_unit_validation_flags,programme_name_raw,programme_name_analysis_value,programme_name_status,programme_name_expected_visible,programme_name_validation_flags,study_level_raw,study_level_analysis_value,study_level_status,study_level_expected_visible,study_level_validation_flags,year_in_programme_raw,year_in_programme_analysis_value,year_in_programme_status,year_in_programme_expected_visible,year_in_programme_validation_flags,year_in_programme_numeric,employee_role_raw,employee_role_analysis_value,employee_role_status,employee_role_expected_visible,employee_role_validation_flags,highest_degree_raw,highest_degree_analysis_value,highest_degree_status,highest_degree_expected_visible,highest_degree_validation_flags,degree_field_raw,degree_field_analysis_value,degree_field_status,degree_field_expected_visible,degree_field_validation_flags,country_secondary_ed_raw,country_secondary_ed_analysis_value,country_secondary_ed_status,country_secondary_ed_expected_visible,country_secondary_ed_validation_flags,primary_school_langs_raw,primary_school_langs_analysis_value,primary_school_langs_status,primary_school_langs_expected_visible,primary_school_langs_validation_flags,parent_a_edu_raw,parent_a_edu_analysis_value,parent_a_edu_status,parent_a_edu_expected_visible,parent_a_edu_validation_flags,parent_b_edu_raw,parent_b_edu_analysis_value,parent_b_edu_status,parent_b_edu_expected_visible,parent_b_edu_validation_flags,first_gen_he_raw,first_gen_he_analysis_value,first_gen_he_status,first_gen_he_expected_visible,first_gen_he_validation_flags,living_arrangement_raw,living_arrangement_analysis_value,living_arrangement_status,living_arrangement_expected_visible,living_arrangement_validation_flags
PID001,PID001,20251106_124958,2025-11-06 12:49:58,socio_PID01_20251106_124958.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/socio_PID01_20251106_124958.json,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,42,42,VALID,True,,42.0,iran,Iran,VALID,True,,iranian,Iranian,VALID,True,,5,5,VALID,True,,5.0,male,Male,VALID,True,,farsi,Farsi,VALID,True,,english,English,VALID,True,,PhD candidate,PhD candidate,VALID,True,,udm liser,UDM LISER,VALID,True,,,BLANK,BLANK,False,blank_despite_show_if,PhD,Doctorate,VALID,False,present_despite_show_if,3,3,VALID,False,present_despite_show_if,3.0,,NOT_APPLICABLE,NOT_APPLICABLE,False,,Master,Master,VALID,True,,geography,Geography,VALID,True,,iran,Iran,VALID,True,,farsi,Farsi,VALID,True,,Post-secondary non-tertiary,Post-secondary non-tertiary,VALID,True,,Post-secondary non-tertiary,Post-secondary non-tertiary,VALID,True,,yes,Yes,VALID,True,,With parents/family,With Parents/Family,VALID,True,
PID002,PID002,20251106_162601,2025-11-06 16:26:01,socio_PID002_20251106_162601.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/socio_PID002_20251106_162601.json,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,26,26,VALID,True,,26.0,Brazil,Brazil,VALID,True,,Brazilian,Brazilian,VALID,True,,4,4,VALID,True,,4.0,female,Female,VALID,True,,portuguese,Portuguese,VALID,True,,"english, german","English, German",VALID,True,,PhD candidate,PhD candidate,VALID,True,,Social Sciences,Social Sciences,VALID,True,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,Master,Master,VALID,True,,Economics,Economics,VALID,True,,Luxembourg,Luxembourg,VALID,True,,Portuguese,Portuguese,VALID,True,,PhD,Doctorate,VALID,True,,Bachelor,Bachelor,VALID,True,,No,No,VALID,True,,Alone,Alone,VALID,True,
PID003,PID003,20251111_140525,2025-11-11 14:05:25,socio_PID003_20251111_140525.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/socio_PID003_20251111_140525.json,enem_blocks_PID003_20251111_140525.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/enem_blocks_PID003_20251111_140525.csv,29,29,VALID,True,,29.0,Uuguay,Uruguay,VALID,True,,Uruguayan,Uruguayan,VALID,True,,2,2,VALID,True,,2.0,male,Male,VALID,True,,Spanish,Spanish,VALID,True,,English,English,VALID,True,,PhD candidate,PhD candidate,VALID,True,,Living Conditions,Living Conditions,VALID,True,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,Master,Master,VALID,True,,Conomics,Economics,VALID,True,,Uruguay,Uruguay,VALID,True,,Spanish,Spanish,VALID,True,,Highschool,Secondary,VALID,True,,School\,Secondary,VALID,True,,Yes,Yes,VALID,True,,With couple,With Couple,VALID,True,
PID004,PID004,20251111_154532,2025-11-11 15:45:32,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json,enem_blocks_pid004_20251111_154532.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/enem_blocks_pid004_20251111_154532.csv,38,38,VALID,True,,38.0,Brazil,Brazil,VALID,True,,Brazilian,Brazilian,VALID,True,,1,1,VALID,True,,1.0,female,Female,VALID,True,,Portuguese,Portuguese,VALID,True,,English,English,VALID,True,,PhD candidate,PhD candidate,VALID,True,,Psychology,Psychology,VALID,True,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,Master,Master,VALID,True,,Communication and Cognition,Communication And Cognition,VALID,True,,Brazil,Brazil,VALID,True,,Portuguese,Portuguese,VALID,True,,high school,Secondary,VALID,True,,high school,Secondary,VALID,True,,Yes,Yes,VALID,True,,Student accomodation,Student accommodation,VALID,True,
PID005,PID05,20251112_112312,2025-11-12 11:23:12,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json,enem_blocks_PID05_20251112_112312.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/enem_blocks_PID05_20251112_112312.csv,28,28,VALID,True,,28.0,italy,Italy,VALID,True,,italian,Italian,VALID,True,,0,0,VALID,True,,0.0,male,Male,VALID,True,,italian,Italian,VALID,True,,english,English,VALID,True,,phd candidate,PhD candidate,VALID,True,,Liser,LISER,VALID,True,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,Doctorate,Doctorate,VALID,True,,Economics,Economics,VALID,True,,Italy,Italy,VALID,True,,Italian,Italian,VALID,True,,Master Degree,Master,VALID,True,,High school,Secondary,VALID,True,,no,No,VALID,True,,alone,Alone,VALID,True,
PID007,PID007,20251113_163330,2025-11-13 16:33:30,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json,enem_blocks_pid007_20251113_163330.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/enem_blocks_pid007_20251113_163330.csv,36,36,VALID,True,,36.0,Colombia,Colombia,VALID,True,,Colombian,Colombian,VALID,True,,8,8,VALID,True,,8.0,female,Female,VALID,True,,spanish,Spanish,VALID,True,,english,English,VALID,True,,Employee research,Employee Research,VALID,True,,Na,NA,VALID,True,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,Postdoc,Postdoc,VALID,True,,doctorate,Doctorate,VALID,True,,Economics,Economics,VALID,True,,Colombia,Colombia,VALID,True,,Spanish,Spanish,VALID,True,,Bachelor,Bachelor,VALID,True,,Bachelor,Bachelor,VALID,True,,No,No,VALID,True,,Renter,Renter,VALID,True,
PID008,PID08,20251114_124523,2025-11-14 12:45:23,socio_PID08_20251114_124523.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/socio_PID08_20251114_124523.json,enem_blocks_PID08_20251114_124523.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/enem_blocks_PID08_20251114_124523.csv,27,27,VALID,True,,27.0,France,France,VALID,True,,French,French,VALID,True,,5,5,VALID,True,,5.0,male,Male,VALID,True,,French,French,VALID,True,,English,English,VALID,True,,Postdoctoral student,Postdoctoral student,VALID,True,,Labour Market,Labour Market,VALID,True,,,BLANK,BLANK,True,,,BLANK,BLANK,True,,,BLANK,BLANK,True,,,Postdoc,Postdoc,VALID,True,,Doctorate,Doctorate,VALID,True,,Economics,Economics,VALID,True,,France,France,VALID,True,,French,French,VALID,True,,Doctorate,Doctorate,VALID,True,,Master,Master,VALID,True,,No,No,VALID,True,,Single,Single,VALID,True,
PID009,PID09,20251114_143701,2025-11-14 14:37:01,socio_PID09_20251114_143701.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/socio_PID09_20251114_143701.json,enem_blocks_PID09_20251114_143701.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/enem_blocks_PID09_20251114_143701.csv,20,20,VALID,True,,20.0,USA,USA,VALID,True,,Polish,Polish,VALID,True,,16,16,VALID,True,,16.0,female,Female,VALID,True,,polish,Polish,VALID,True,,"luxembourgish, english, french, german","Luxembourgish, English, French, German",VALID,True,,Bachelor student,Bachelor Student,VALID,True,,psychology,Psychology,VALID,True,,BAP Bachelors in Psychology,BAP Bachelors In Psychology,VALID,True,,Bachelor,Bachelor,VALID,True,,2,2,VALID,True,,2.0,,NOT_APPLICABLE,NOT_APPLICABLE,False,,Upper-secondary,Upper secondary,VALID,True,,highschool,High school,VALID,True,,Luxembourg,Luxembourg,VALID,True,,Luxembourgish French German,Luxembourgish French German,VALID,True,,Doctorate,Doctorate,VALID,True,,Seconday school diploma,Secondary,VALID,True,,No,No,VALID,True,,Appartment,Apartment,VALID,True,
PID010,PID010,20251114_165001,2025-11-14 16:50:01,socio_PID010_20251114_165001.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/socio_PID010_20251114_165001.json,enem_blocks_PID010_20251114_165001.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/enem_blocks_PID010_20251114_165001.csv,33,33,VALID,True,,33.0,Non-Eu,Non-EU,VALID,True,,Third country national,Third Country National,VALID,True,,2,2,VALID,True,,2.0,female,Female,VALID,True,,Russian,Russian,VALID,True,,"English, Korean, Uzbek","English, Korean, Uzbek",VALID,True,,PhD,PhD candidate,VALID,True,,Living Conditions,Living Conditions,VALID,True,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,Master,Master,VALID,True,,Economics,Economics,VALID,True,,Uzbekistan,Uzbekistan,VALID,True,,"Uzbek, Russian","Uzbek, Russian",VALID,True,,Bachelor,Bachelor,VALID,True,,Bachelor,Bachelor,VALID,True,,No,No,VALID,True,,Studio,Studio,VALID,True,
PID011,PID11,20251118_110941,2025-11-18 11:09:41,socio_PID11_20251118_110941.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/socio_PID11_20251118_110941.json,enem_blocks_PID11_20251118_110941.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/enem_blocks_PID11_20251118_110941.csv,35,35,VALID,True,,35.0,Germany,Germany,VALID,True,,German,German,VALID,True,,0,0,VALID,True,,0.0,male,Male,VALID,True,,German,German,VALID,True,,English,English,VALID,True,,PhD candidate,PhD candidate,VALID,True,,Institute of History,Institute Of History,VALID,True,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,Master,Master,VALID,True,,Geoarchaeology,Geoarchaeology,VALID,True,,Germany,Germany,VALID,True,,German,German,VALID,True,,University,Tertiary unspecified,VALID,True,,secondary school,Secondary,VALID,True,,no,No,VALID,True,,Alone,Alone,VALID,True,
PID012,PID12,20251118_141329,2025-11-18 14:13:29,socio_PID12_20251118_141329.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/socio_PID12_20251118_141329.json,enem_blocks_PID12_20251118_141329.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/enem_blocks_PID12_20251118_141329.csv,28,28,VALID,True,,28.0,Brazil,Brazil,VALID,True,,Brazilian and Luxembourgish,Brazilian And Luxembourgish,VALID,True,,3,3,VALID,True,,3.0,female,Female,VALID,True,,Portuguese,Portuguese,VALID,True,,English and French,English And French,VALID,True,,Master student,Master Student,VALID,True,,Engineering,Engineering,VALID,True,,Master in Sustainable Development,Master In Sustainable Development,VALID,True,,Master,Master,VALID,True,,1,1,VALID,True,,1.0,,NOT_APPLICABLE,NOT_APPLICABLE,False,,Bachelor,Bachelor,VALID,True,,Engineering,Engineering,VALID,True,,Brazil,Brazil,VALID,True,,Portuguese,Portuguese,VALID,True,,Bachelor,Bachelor,VALID,True,,Secondary school,Secondary,VALID,True,,No,No,VALID,True,,with family,With Family,VALID,True,
PID013,PID13,20251118_153529,2025-11-18 15:35:29,socio_PID13_20251118_153529.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/socio_PID13_20251118_153529.json,enem_blocks_PID13_20251118_153529.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/enem_blocks_PID13_20251118_153529.csv,45,45,VALID,True,,45.0,Iran,Iran,VALID,True,,Luxembourg,Luxembourg,VALID,True,,34,34,VALID,True,,34.0,male,Male,VALID,True,,Persian,Persian,VALID,True,,"English, German, French, Luxembourgish","English, German, French, Luxembourgish",VALID,True,,University Employee,University employee,VALID,True,,Media Centre,Media Centre,VALID,True,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,Technical Staff,Technical staff,VALID,True,,Master,Master,VALID,True,,Social Sciences and Educational Sciences,Social Sciences And Educational Sciences,VALID,True,,Luxembourg and Albania,Luxembourg And Albania,VALID,True,,Luxembourgish,Luxembourgish,VALID,True,,Bachelor,Bachelor,VALID,True,,Secondary School,Secondary,VALID,True,,No,No,VALID,True,,With wife and flat mates,With Wife And Flat Mates,VALID,True,
PID014,PID014,20251119_102835,2025-11-19 10:28:35,socio_PID014_20251119_102835.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/socio_PID014_20251119_102835.json,enem_blocks_PID014_20251119_102835.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/enem_blocks_PID014_20251119_102835.csv,32,32,VALID,True,,32.0,italy,Italy,VALID,True,,italian,Italian,VALID,True,,1,1,VALID,True,,1.0,female,Female,VALID,True,,italian,Italian,VALID,True,,english,English,VALID,True,,phd candidate,PhD candidate,VALID,True,,social sciences,Social Sciences,VALID,True,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,doctorate,Doctorate,VALID,True,,economic-law,Economic-Law,VALID,True,,italy,Italy,VALID,True,,italian,Italian,VALID,True,,secondary school,Secondary,VALID,True,,secondary school,Secondary,VALID,True,,yes,Yes,VALID,True,,roomates,Roommates,VALID,True,
PID015,PID015,20251119_140111,2025-11-19 14:01:11,socio_PID015_20251119_140111.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/socio_PID015_20251119_140111.json,enem_blocks_PID015_20251119_140111.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/enem_blocks_PID015_20251119_140111.csv,26,26,VALID,True,,26.0,france,France,VALID,True,,french,French,VALID,True,,0,0,VALID,True,,0.0,male,Male,VALID,True,,french,French,VALID,True,,"english,german,russian","English, German, Russian",VALID,True,,PhDcandidate,PhD candidate,VALID,True,,UDM,UDM,VALID,True,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,master,Master,VALID,True,,history,History,VALID,True,,france,France,VALID,True,,french,French,VALID,True,,baccalaureat,Secondary,VALID,True,,baccalaureat,Secondary,VALID,True,,Yes,Yes,VALID,True,,With faily,With family,VALID,True,
PID016,PID016,20251119_160945,2025-11-19 16:09:45,socio_PID016_20251119_160945.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/socio_PID016_20251119_160945.json,enem_blocks_PID016_20251119_160945.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/enem_blocks_PID016_20251119_160945.csv,31,31,VALID,True,,31.0,Luxembourg,Luxembourg,VALID,True,,Luxembourg,Luxembourg,VALID,True,,24,24,VALID,True,,24.0,male,Male,VALID,True,,luxembourgish,Luxembourgish,VALID,True,,"english, german, french","English, German, French",VALID,True,,Employee,Employee,VALID,True,,Udm,UDM,VALID,True,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,Research staff,Research staff,VALID,True,,Doctorate,Doctorate,VALID,True,,Economics,Economics,VALID,True,,Netherlands,Netherlands,VALID,True,,French German,French German,VALID,True,,Masters,Master,VALID,True,,Masters,Master,VALID,True,,no,No,VALID,True,,with family,With Family,VALID,True,
PID017,PID17,20251120_101028,2025-11-20 10:10:28,socio_pid17_20251120_101028.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/socio_pid17_20251120_101028.json,enem_blocks_pid17_20251120_101028.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/enem_blocks_pid17_20251120_101028.csv,29,29,VALID,True,,29.0,Germany,Germany,VALID,True,,German,German,VALID,True,,1,1,VALID,True,,1.0,male,Male,VALID,True,,german,German,VALID,True,,English,English,VALID,True,,PhD Candidate,PhD candidate,VALID,True,,Udm,UDM,VALID,True,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,,,NOT_APPLICABLE,NOT_APPLICABLE,False,,Master,Master,VALID,True,,Sociology,Sociology,VALID,True,,Germany,Germany,VALID,True,,german,German,VALID,True,,high-school level,Secondary,VALID,True,,High-school level,Secondary,VALID,True,,yes,Yes,VALID,True,,alone,Alone,VALID,True,
