block,block_type,global_block_order,trial_idx_in_block,n_presented_questions,n_answered_questions,mean_rt_text_to_answer,mean_accuracy,mean_sec_per_word,mean_sec_per_sentence
A1,Abstract,1,1,13,13,102.1297663846154,0.46153846153846156,1.3519852237967467,60.75096446433566
C1,Concrete,1,1,23,23,96.92250939130433,0.5217391304347826,1.8249108564115424,48.192781033850935
A1,Abstract,1,2,13,13,109.38158823076922,0.5384615384615384,1.2753878238176664,47.53919620571095
C1,Concrete,1,2,23,23,92.76881260869564,0.391304347826087,1.4842665705813483,36.30043009720497
A1,Abstract,1,3,13,13,101.71904861538461,0.46153846153846156,1.2106212569590293,33.72994861002331
C1,Concrete,1,3,23,23,77.81430404347826,0.6086956521739131,1.4353509060354375,37.57216192018633
A2,Abstract,2,1,13,13,105.32888115384617,0.6153846153846154,1.3044936548665933,38.83012676223777
C2,Concrete,2,1,23,23,96.48519878260869,0.5217391304347826,1.6334098116363027,55.231160463457556
A2,Abstract,2,2,13,13,105.70219984615383,0.6923076923076923,1.4224529271985928,38.378534932051274
C2,Concrete,2,2,23,23,94.75793665217392,0.6956521739130435,1.184241611781623,33.43389675217392
A2,Abstract,2,3,13,13,103.06335707692307,0.5384615384615384,1.2558085279202982,37.78125806410256
C2,Concrete,2,3,22,22,94.75533518181818,0.36363636363636365,1.357014155954384,36.354785161038954
A3,Abstract,3,1,13,13,104.48689700000001,0.46153846153846156,1.5539446931536909,37.633069980769235
C3,Concrete,3,1,23,23,110.98453795652172,0.5652173913043478,1.398477010122404,40.57892395973083
A3,Abstract,3,2,13,13,100.19631646153849,0.5384615384615384,1.3104789299569097,33.26156921981354
C3,Concrete,3,2,23,23,85.97170995652175,0.4782608695652174,1.1660441469176828,32.04908240427883
A3,Abstract,3,3,12,12,107.42854525000001,0.6666666666666666,1.2410403225398923,34.716967616666665
C3,Concrete,3,3,23,23,90.27707756521738,0.5217391304347826,1.2938548950396254,38.25905934699793
A4,Abstract,4,1,13,13,98.76295930769236,0.38461538461538464,1.3143135040038976,33.59966812820515
C4,Concrete,4,1,23,23,97.35785965217391,0.5652173913043478,1.4110606673062487,42.676049428812966
A4,Abstract,4,2,13,13,92.37690992307694,0.5384615384615384,1.0713488136325373,27.785592343006993
C4,Concrete,4,2,23,23,98.30115608695657,0.5652173913043478,1.606589866183921,50.59765357522431
A4,Abstract,4,3,13,13,93.53771961538466,0.5384615384615384,1.2643221152042894,39.75376744102566
C4,Concrete,4,3,22,22,80.04670750000001,0.5454545454545454,1.3083299727589421,32.2903840225469
A5,Abstract,5,1,13,13,94.36789646153852,0.38461538461538464,1.3366564182495149,41.48742349195805
C5,Concrete,5,1,23,23,79.50000939130436,0.5217391304347826,1.2252302617689321,39.41819879206349
A5,Abstract,5,2,13,13,105.03798115384615,0.6923076923076923,1.3329076833855937,32.555430549533796
C5,Concrete,5,2,23,23,78.92480130434784,0.391304347826087,1.2590339893840992,35.63729397018635
A5,Abstract,5,3,13,13,94.51586015384613,0.5384615384615384,1.2642887668675309,36.26472450128206
C5,Concrete,5,3,23,23,90.3612893043478,0.391304347826087,1.229804874969277,37.480213684265
A1,Abstract,6,1,23,23,86.70613700000008,0.6086956521739131,1.1201459029503356,32.33048858260872
C1,Concrete,6,1,13,13,112.08979392307691,0.6153846153846154,1.5323776567384806,36.50656800396825
A1,Abstract,6,2,23,23,93.28617478260863,0.782608695652174,1.2664335462503786,49.34760151198942
C1,Concrete,6,2,13,13,86.22941338461533,0.5384615384615384,1.5543695676232818,48.62670954780214
A1,Abstract,6,3,23,23,94.78229656521731,0.6956521739130435,1.20934303504791,39.44478443326743
C1,Concrete,6,3,12,12,90.65901049999995,0.3333333333333333,1.124224759718394,35.65386653789678
A2,Abstract,7,1,23,23,86.20414452173912,0.6956521739130435,1.2260057503819024,40.803816257971015
C2,Concrete,7,1,13,13,105.2097133076924,0.38461538461538464,1.690250387955791,46.40391126703301
A2,Abstract,7,2,23,23,89.25928069565221,0.6086956521739131,1.1241169158058189,33.19711532252965
C2,Concrete,7,2,13,13,103.25187553846162,0.3076923076923077,1.2561687162456407,40.05590806684985
A2,Abstract,7,3,23,23,88.45327317391302,0.6521739130434783,1.1170594329296843,32.403973456192354
C2,Concrete,7,3,12,12,90.93435591666666,0.4166666666666667,1.3151799023132387,47.68400846250001
A3,Abstract,8,1,23,23,89.96928573913047,0.782608695652174,1.0248154032368282,29.303406855994744
C3,Concrete,8,1,13,13,78.21797138461534,0.46153846153846156,1.08316197987046,19.411848660378503
A3,Abstract,8,2,23,23,83.89875469565217,0.6521739130434783,1.048211361643429,36.61465914400528
C3,Concrete,8,2,13,13,87.99595961538458,0.46153846153846156,1.333024635823861,28.983053554456646
A3,Abstract,8,3,23,23,88.24045747826081,0.6521739130434783,1.1032594418213915,26.635733029776006
C3,Concrete,8,3,13,13,86.76903669230775,0.3076923076923077,1.2369585085976387,34.95188334078146
A4,Abstract,9,1,23,23,76.67470795652171,0.782608695652174,0.9521652560847427,28.560511148814186
C4,Concrete,9,1,13,13,82.7585301538462,0.46153846153846156,0.990107310490682,22.620559920879153
A4,Abstract,9,2,23,23,82.39149873913038,0.6086956521739131,1.0502414029847251,29.032731037615264
C4,Concrete,9,2,13,13,74.10567992307695,0.7692307692307693,1.171501291933962,46.223732729120876
A4,Abstract,9,3,23,23,78.30477569565215,0.6956521739130435,1.0507088659412267,30.360672093675877
C4,Concrete,9,3,13,13,68.70270646153841,0.46153846153846156,1.346190063142758,48.82158800384611
A5,Abstract,10,1,23,23,79.30403086956518,0.5652173913043478,1.0939523893295113,34.611871686956476
C5,Concrete,10,1,13,13,75.88592638461547,0.46153846153846156,1.3595423808707063,26.172242434615388
A5,Abstract,10,2,23,23,85.29491082608703,0.6086956521739131,1.1160001708321206,32.053914372463794
C5,Concrete,10,2,13,13,67.77524323076918,0.5384615384615384,1.1763151791243633,33.01367767710618
A5,Abstract,10,3,23,23,79.29137321739138,0.7391304347826086,1.0086305476659094,28.660381490579756
C5,Concrete,10,3,13,13,80.39188138461546,0.5384615384615384,1.1755786515886595,37.43056474505501
