participant_id,folder_name,timestamp_raw,timestamp_iso,source_json,source_json_full_path,source_enem_blocks,source_enem_blocks_full_path,present_question_ids_json,age,age__key_present,country_of_birth,country_of_birth__key_present,nationality,nationality__key_present,years_in_luxembourg,years_in_luxembourg__key_present,gender,gender__key_present,first_language,first_language__key_present,other_languages,other_languages__key_present,affiliation,affiliation__key_present,department_unit,department_unit__key_present,programme_name,programme_name__key_present,study_level,study_level__key_present,year_in_programme,year_in_programme__key_present,employee_role,employee_role__key_present,highest_degree,highest_degree__key_present,degree_field,degree_field__key_present,country_secondary_ed,country_secondary_ed__key_present,primary_school_langs,primary_school_langs__key_present,parent_a_edu,parent_a_edu__key_present,parent_b_edu,parent_b_edu__key_present,first_gen_he,first_gen_he__key_present,living_arrangement,living_arrangement__key_present
PID001,PID001,20251106_124958,2025-11-06 12:49:58,socio_PID01_20251106_124958.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/socio_PID01_20251106_124958.json,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,"[""affiliation"", ""age"", ""country_of_birth"", ""country_secondary_ed"", ""degree_field"", ""department_unit"", ""first_gen_he"", ""first_language"", ""gender"", ""highest_degree"", ""living_arrangement"", ""nationality"", ""other_languages"", ""parent_a_edu"", ""parent_b_edu"", ""primary_school_langs"", ""programme_name"", ""study_level"", ""year_in_programme"", ""years_in_luxembourg""]",42,True,iran,True,iranian,True,5,True,male,True,farsi,True,english,True,PhD candidate,True,udm liser,True,,True,PhD,True,3,True,,False,Master,True,geography,True,iran,True,farsi,True,Post-secondary non-tertiary,True,Post-secondary non-tertiary,True,yes,True,With parents/family,True
PID002,PID002,20251106_162601,2025-11-06 16:26:01,socio_PID002_20251106_162601.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/socio_PID002_20251106_162601.json,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,"[""affiliation"", ""age"", ""country_of_birth"", ""country_secondary_ed"", ""degree_field"", ""department_unit"", ""first_gen_he"", ""first_language"", ""gender"", ""highest_degree"", ""living_arrangement"", ""nationality"", ""other_languages"", ""parent_a_edu"", ""parent_b_edu"", ""primary_school_langs"", ""years_in_luxembourg""]",26,True,Brazil,True,Brazilian,True,4,True,female,True,portuguese,True,"english, german",True,PhD candidate,True,Social Sciences,True,,False,,False,,False,,False,Master,True,Economics,True,Luxembourg,True,Portuguese,True,PhD,True,Bachelor,True,No,True,Alone,True
PID003,PID003,20251111_140525,2025-11-11 14:05:25,socio_PID003_20251111_140525.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/socio_PID003_20251111_140525.json,enem_blocks_PID003_20251111_140525.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/enem_blocks_PID003_20251111_140525.csv,"[""affiliation"", ""age"", ""country_of_birth"", ""country_secondary_ed"", ""degree_field"", ""department_unit"", ""first_gen_he"", ""first_language"", ""gender"", ""highest_degree"", ""living_arrangement"", ""nationality"", ""other_languages"", ""parent_a_edu"", ""parent_b_edu"", ""primary_school_langs"", ""years_in_luxembourg""]",29,True,Uuguay,True,Uruguayan,True,2,True,male,True,Spanish,True,English,True,PhD candidate,True,Living Conditions,True,,False,,False,,False,,False,Master,True,Conomics,True,Uruguay,True,Spanish,True,Highschool,True,School\,True,Yes,True,With couple,True
PID004,PID004,20251111_154532,2025-11-11 15:45:32,socio_pid004_20251111_154532.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/socio_pid004_20251111_154532.json,enem_blocks_pid004_20251111_154532.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/enem_blocks_pid004_20251111_154532.csv,"[""affiliation"", ""age"", ""country_of_birth"", ""country_secondary_ed"", ""degree_field"", ""department_unit"", ""first_gen_he"", ""first_language"", ""gender"", ""highest_degree"", ""living_arrangement"", ""nationality"", ""other_languages"", ""parent_a_edu"", ""parent_b_edu"", ""primary_school_langs"", ""years_in_luxembourg""]",38,True,Brazil,True,Brazilian,True,1,True,female,True,Portuguese,True,English,True,PhD candidate,True,Psychology,True,,False,,False,,False,,False,Master,True,Communication and Cognition,True,Brazil,True,Portuguese,True,high school,True,high school,True,Yes,True,Student accomodation,True
PID005,PID05,20251112_112312,2025-11-12 11:23:12,socio_PID05_20251112_112312.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/socio_PID05_20251112_112312.json,enem_blocks_PID05_20251112_112312.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/enem_blocks_PID05_20251112_112312.csv,"[""affiliation"", ""age"", ""country_of_birth"", ""country_secondary_ed"", ""degree_field"", ""department_unit"", ""first_gen_he"", ""first_language"", ""gender"", ""highest_degree"", ""living_arrangement"", ""nationality"", ""other_languages"", ""parent_a_edu"", ""parent_b_edu"", ""primary_school_langs"", ""years_in_luxembourg""]",28,True,italy,True,italian,True,0,True,male,True,italian,True,english,True,phd candidate,True,Liser,True,,False,,False,,False,,False,Doctorate,True,Economics,True,Italy,True,Italian,True,Master Degree,True,High school,True,no,True,alone,True
PID007,PID007,20251113_163330,2025-11-13 16:33:30,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json,enem_blocks_pid007_20251113_163330.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/enem_blocks_pid007_20251113_163330.csv,"[""affiliation"", ""age"", ""country_of_birth"", ""country_secondary_ed"", ""degree_field"", ""department_unit"", ""employee_role"", ""first_gen_he"", ""first_language"", ""gender"", ""highest_degree"", ""living_arrangement"", ""nationality"", ""other_languages"", ""parent_a_edu"", ""parent_b_edu"", ""primary_school_langs"", ""years_in_luxembourg""]",36,True,Colombia,True,Colombian,True,8,True,female,True,spanish,True,english,True,Employee research,True,Na,True,,False,,False,,False,Postdoc,True,doctorate,True,Economics,True,Colombia,True,Spanish,True,Bachelor,True,Bachelor,True,No,True,Renter,True
PID008,PID08,20251114_124523,2025-11-14 12:45:23,socio_PID08_20251114_124523.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/socio_PID08_20251114_124523.json,enem_blocks_PID08_20251114_124523.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/enem_blocks_PID08_20251114_124523.csv,"[""affiliation"", ""age"", ""country_of_birth"", ""country_secondary_ed"", ""degree_field"", ""department_unit"", ""employee_role"", ""first_gen_he"", ""first_language"", ""gender"", ""highest_degree"", ""living_arrangement"", ""nationality"", ""other_languages"", ""parent_a_edu"", ""parent_b_edu"", ""primary_school_langs"", ""programme_name"", ""study_level"", ""year_in_programme"", ""years_in_luxembourg""]",27,True,France,True,French,True,5,True,male,True,French,True,English,True,Postdoctoral student,True,Labour Market,True,,True,,True,,True,Postdoc,True,Doctorate,True,Economics,True,France,True,French,True,Doctorate,True,Master,True,No,True,Single,True
PID009,PID09,20251114_143701,2025-11-14 14:37:01,socio_PID09_20251114_143701.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/socio_PID09_20251114_143701.json,enem_blocks_PID09_20251114_143701.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/enem_blocks_PID09_20251114_143701.csv,"[""affiliation"", ""age"", ""country_of_birth"", ""country_secondary_ed"", ""degree_field"", ""department_unit"", ""first_gen_he"", ""first_language"", ""gender"", ""highest_degree"", ""living_arrangement"", ""nationality"", ""other_languages"", ""parent_a_edu"", ""parent_b_edu"", ""primary_school_langs"", ""programme_name"", ""study_level"", ""year_in_programme"", ""years_in_luxembourg""]",20,True,USA,True,Polish,True,16,True,female,True,polish,True,"luxembourgish, english, french, german",True,Bachelor student,True,psychology,True,BAP Bachelors in Psychology,True,Bachelor,True,2,True,,False,Upper-secondary,True,highschool,True,Luxembourg,True,Luxembourgish French German,True,Doctorate,True,Seconday school diploma,True,No,True,Appartment,True
PID010,PID010,20251114_165001,2025-11-14 16:50:01,socio_PID010_20251114_165001.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/socio_PID010_20251114_165001.json,enem_blocks_PID010_20251114_165001.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/enem_blocks_PID010_20251114_165001.csv,"[""affiliation"", ""age"", ""country_of_birth"", ""country_secondary_ed"", ""degree_field"", ""department_unit"", ""first_gen_he"", ""first_language"", ""gender"", ""highest_degree"", ""living_arrangement"", ""nationality"", ""other_languages"", ""parent_a_edu"", ""parent_b_edu"", ""primary_school_langs"", ""years_in_luxembourg""]",33,True,Non-Eu,True,Third country national,True,2,True,female,True,Russian,True,"English, Korean, Uzbek",True,PhD,True,Living Conditions,True,,False,,False,,False,,False,Master,True,Economics,True,Uzbekistan,True,"Uzbek, Russian",True,Bachelor,True,Bachelor,True,No,True,Studio,True
PID011,PID11,20251118_110941,2025-11-18 11:09:41,socio_PID11_20251118_110941.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/socio_PID11_20251118_110941.json,enem_blocks_PID11_20251118_110941.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/enem_blocks_PID11_20251118_110941.csv,"[""affiliation"", ""age"", ""country_of_birth"", ""country_secondary_ed"", ""degree_field"", ""department_unit"", ""first_gen_he"", ""first_language"", ""gender"", ""highest_degree"", ""living_arrangement"", ""nationality"", ""other_languages"", ""parent_a_edu"", ""parent_b_edu"", ""primary_school_langs"", ""years_in_luxembourg""]",35,True,Germany,True,German,True,0,True,male,True,German,True,English,True,PhD candidate,True,Institute of History,True,,False,,False,,False,,False,Master,True,Geoarchaeology,True,Germany,True,German,True,University,True,secondary school,True,no,True,Alone,True
PID012,PID12,20251118_141329,2025-11-18 14:13:29,socio_PID12_20251118_141329.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/socio_PID12_20251118_141329.json,enem_blocks_PID12_20251118_141329.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/enem_blocks_PID12_20251118_141329.csv,"[""affiliation"", ""age"", ""country_of_birth"", ""country_secondary_ed"", ""degree_field"", ""department_unit"", ""first_gen_he"", ""first_language"", ""gender"", ""highest_degree"", ""living_arrangement"", ""nationality"", ""other_languages"", ""parent_a_edu"", ""parent_b_edu"", ""primary_school_langs"", ""programme_name"", ""study_level"", ""year_in_programme"", ""years_in_luxembourg""]",28,True,Brazil,True,Brazilian and Luxembourgish,True,3,True,female,True,Portuguese,True,English and French,True,Master student,True,Engineering,True,Master in Sustainable Development,True,Master,True,1,True,,False,Bachelor,True,Engineering,True,Brazil,True,Portuguese,True,Bachelor,True,Secondary school,True,No,True,with family,True
PID013,PID13,20251118_153529,2025-11-18 15:35:29,socio_PID13_20251118_153529.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/socio_PID13_20251118_153529.json,enem_blocks_PID13_20251118_153529.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/enem_blocks_PID13_20251118_153529.csv,"[""affiliation"", ""age"", ""country_of_birth"", ""country_secondary_ed"", ""degree_field"", ""department_unit"", ""employee_role"", ""first_gen_he"", ""first_language"", ""gender"", ""highest_degree"", ""living_arrangement"", ""nationality"", ""other_languages"", ""parent_a_edu"", ""parent_b_edu"", ""primary_school_langs"", ""years_in_luxembourg""]",45,True,Iran,True,Luxembourg,True,34,True,male,True,Persian,True,"English, German, French, Luxembourgish",True,University Employee,True,Media Centre,True,,False,,False,,False,Technical Staff,True,Master,True,Social Sciences and Educational Sciences,True,Luxembourg and Albania,True,Luxembourgish,True,Bachelor,True,Secondary School,True,No,True,With wife and flat mates,True
PID014,PID014,20251119_102835,2025-11-19 10:28:35,socio_PID014_20251119_102835.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/socio_PID014_20251119_102835.json,enem_blocks_PID014_20251119_102835.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/enem_blocks_PID014_20251119_102835.csv,"[""affiliation"", ""age"", ""country_of_birth"", ""country_secondary_ed"", ""degree_field"", ""department_unit"", ""first_gen_he"", ""first_language"", ""gender"", ""highest_degree"", ""living_arrangement"", ""nationality"", ""other_languages"", ""parent_a_edu"", ""parent_b_edu"", ""primary_school_langs"", ""years_in_luxembourg""]",32,True,italy,True,italian,True,1,True,female,True,italian,True,english,True,phd candidate,True,social sciences,True,,False,,False,,False,,False,doctorate,True,economic-law,True,italy,True,italian,True,secondary school,True,secondary school,True,yes,True,roomates,True
PID015,PID015,20251119_140111,2025-11-19 14:01:11,socio_PID015_20251119_140111.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/socio_PID015_20251119_140111.json,enem_blocks_PID015_20251119_140111.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/enem_blocks_PID015_20251119_140111.csv,"[""affiliation"", ""age"", ""country_of_birth"", ""country_secondary_ed"", ""degree_field"", ""department_unit"", ""first_gen_he"", ""first_language"", ""gender"", ""highest_degree"", ""living_arrangement"", ""nationality"", ""other_languages"", ""parent_a_edu"", ""parent_b_edu"", ""primary_school_langs"", ""years_in_luxembourg""]",26,True,france,True,french,True,0,True,male,True,french,True,"english,german,russian",True,PhDcandidate,True,UDM,True,,False,,False,,False,,False,master,True,history,True,france,True,french,True,baccalaureat,True,baccalaureat,True,Yes,True,With faily,True
PID016,PID016,20251119_160945,2025-11-19 16:09:45,socio_PID016_20251119_160945.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/socio_PID016_20251119_160945.json,enem_blocks_PID016_20251119_160945.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/enem_blocks_PID016_20251119_160945.csv,"[""affiliation"", ""age"", ""country_of_birth"", ""country_secondary_ed"", ""degree_field"", ""department_unit"", ""employee_role"", ""first_gen_he"", ""first_language"", ""gender"", ""highest_degree"", ""living_arrangement"", ""nationality"", ""other_languages"", ""parent_a_edu"", ""parent_b_edu"", ""primary_school_langs"", ""years_in_luxembourg""]",31,True,Luxembourg,True,Luxembourg,True,24,True,male,True,luxembourgish,True,"english, german, french",True,Employee,True,Udm,True,,False,,False,,False,Research staff,True,Doctorate,True,Economics,True,Netherlands,True,French German,True,Masters,True,Masters,True,no,True,with family,True
PID017,PID17,20251120_101028,2025-11-20 10:10:28,socio_pid17_20251120_101028.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/socio_pid17_20251120_101028.json,enem_blocks_pid17_20251120_101028.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/enem_blocks_pid17_20251120_101028.csv,"[""affiliation"", ""age"", ""country_of_birth"", ""country_secondary_ed"", ""degree_field"", ""department_unit"", ""first_gen_he"", ""first_language"", ""gender"", ""highest_degree"", ""living_arrangement"", ""nationality"", ""other_languages"", ""parent_a_edu"", ""parent_b_edu"", ""primary_school_langs"", ""years_in_luxembourg""]",29,True,Germany,True,German,True,1,True,male,True,german,True,English,True,PhD Candidate,True,Udm,True,,False,,False,,False,,False,Master,True,Sociology,True,Germany,True,german,True,high-school level,True,High-school level,True,yes,True,alone,True
PID018,PID18,20251120_115656,2025-11-20 11:56:56,socio_PID18_20251120_115656.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID18/socio_PID18_20251120_115656.json,enem_blocks_PID18_20251120_115656.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID18/enem_blocks_PID18_20251120_115656.csv,"[""affiliation"", ""age"", ""country_of_birth"", ""country_secondary_ed"", ""degree_field"", ""department_unit"", ""employee_role"", ""first_gen_he"", ""first_language"", ""gender"", ""highest_degree"", ""living_arrangement"", ""nationality"", ""other_languages"", ""parent_a_edu"", ""parent_b_edu"", ""primary_school_langs"", ""years_in_luxembourg""]",52,True,Poland,True,polish,True,17,True,male,True,polish,True,english,True,LIS employee,True,Data,True,,False,,False,,False,research associate and data expert,True,Doctorate,True,Political Science,True,Poland,True,Polish,True,university,True,university,True,No,True,with family,True
