participant_folder,participant_id,psychopy_log_file_name,psychopy_log_full_path,timestamp_raw,timestamp_iso,log_readable,paired_demographic_file_exists,paired_demographic_file_name,notes
PID001,PID001,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,20251106_124958,2025-11-06 12:49:58,True,True,socio_PID01_20251106_124958.json,
PID002,PID002,enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,20251106_162601,2025-11-06 16:26:01,True,True,socio_PID002_20251106_162601.json,
PID003,PID003,enem_blocks_PID003_20251111_140525.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/enem_blocks_PID003_20251111_140525.csv,20251111_140525,2025-11-11 14:05:25,True,True,socio_PID003_20251111_140525.json,
PID004,PID004,enem_blocks_pid004_20251111_154532.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/enem_blocks_pid004_20251111_154532.csv,20251111_154532,2025-11-11 15:45:32,True,True,socio_pid004_20251111_154532.json,
PID05,PID005,enem_blocks_PID05_20251112_112312.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/enem_blocks_PID05_20251112_112312.csv,20251112_112312,2025-11-12 11:23:12,True,True,socio_PID05_20251112_112312.json,
PID007,PID007,enem_blocks_pid007_20251113_163330.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/enem_blocks_pid007_20251113_163330.csv,20251113_163330,2025-11-13 16:33:30,True,True,socio_pid007_20251113_163330.json,
PID08,PID008,enem_blocks_PID08_20251114_124523.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/enem_blocks_PID08_20251114_124523.csv,20251114_124523,2025-11-14 12:45:23,True,True,socio_PID08_20251114_124523.json,
PID09,PID009,enem_blocks_PID09_20251114_143701.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/enem_blocks_PID09_20251114_143701.csv,20251114_143701,2025-11-14 14:37:01,True,True,socio_PID09_20251114_143701.json,
PID010,PID010,enem_blocks_PID010_20251114_165001.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/enem_blocks_PID010_20251114_165001.csv,20251114_165001,2025-11-14 16:50:01,True,True,socio_PID010_20251114_165001.json,
PID11,PID011,enem_blocks_PID11_20251118_110941.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/enem_blocks_PID11_20251118_110941.csv,20251118_110941,2025-11-18 11:09:41,True,True,socio_PID11_20251118_110941.json,
PID12,PID012,enem_blocks_PID12_20251118_141329.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/enem_blocks_PID12_20251118_141329.csv,20251118_141329,2025-11-18 14:13:29,True,True,socio_PID12_20251118_141329.json,
PID13,PID013,enem_blocks_PID13_20251118_153529.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/enem_blocks_PID13_20251118_153529.csv,20251118_153529,2025-11-18 15:35:29,True,True,socio_PID13_20251118_153529.json,
PID014,PID014,enem_blocks_PID014_20251119_102835.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/enem_blocks_PID014_20251119_102835.csv,20251119_102835,2025-11-19 10:28:35,True,True,socio_PID014_20251119_102835.json,
PID015,PID015,enem_blocks_PID015_20251119_140111.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/enem_blocks_PID015_20251119_140111.csv,20251119_140111,2025-11-19 14:01:11,True,True,socio_PID015_20251119_140111.json,
PID016,PID016,enem_blocks_PID016_20251119_160945.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/enem_blocks_PID016_20251119_160945.csv,20251119_160945,2025-11-19 16:09:45,True,True,socio_PID016_20251119_160945.json,
PID17,PID017,enem_blocks_pid17_20251120_101028.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/enem_blocks_pid17_20251120_101028.csv,20251120_101028,2025-11-20 10:10:28,True,True,socio_pid17_20251120_101028.json,
PID18,PID018,enem_blocks_PID18_20251120_115656.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID18/enem_blocks_PID18_20251120_115656.csv,20251120_115656,2025-11-20 11:56:56,True,True,socio_PID18_20251120_115656.json,
PID19,PID019,enem_blocks_PID19_20251120_140642.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID19/enem_blocks_PID19_20251120_140642.csv,20251120_140642,2025-11-20 14:06:42,True,True,socio_PID19_20251120_140642.json,
PID20,PID020,enem_blocks_PID20_20251120_163606.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID20/enem_blocks_PID20_20251120_163606.csv,20251120_163606,2025-11-20 16:36:06,True,True,socio_PID20_20251120_163606.json,
PID021,PID021,enem_blocks_PID021_20251121_102759.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 21-11-25/PID021/enem_blocks_PID021_20251121_102759.csv,20251121_102759,2025-11-21 10:27:59,True,True,socio_PID021_20251121_102759.json,
PID022,PID022,enem_blocks_PID022_20251121_122104.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 21-11-25/PID022/enem_blocks_PID022_20251121_122104.csv,20251121_122104,2025-11-21 12:21:04,True,True,socio_PID022_20251121_122104.json,
PID023,PID023,enem_blocks_PID023_20251121_144341.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 21-11-25/PID023/enem_blocks_PID023_20251121_144341.csv,20251121_144341,2025-11-21 14:43:41,True,True,socio_PID023_20251121_144341.json,
PID24,PID024,enem_blocks_PID24_20251125_092800.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 25-11-25/PID24/enem_blocks_PID24_20251125_092800.csv,20251125_092800,2025-11-25 09:28:00,True,True,socio_PID24_20251125_092800.json,
PID25,PID025,enem_blocks_PID25_20251125_120604.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 25-11-25/PID25/enem_blocks_PID25_20251125_120604.csv,20251125_120604,2025-11-25 12:06:04,True,True,socio_PID25_20251125_120604.json,
PID26,PID026,enem_blocks_PID26_20251125_142157.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 25-11-25/PID26/enem_blocks_PID26_20251125_142157.csv,20251125_142157,2025-11-25 14:21:57,True,True,socio_PID26_20251125_142157.json,
PID27,PID027,enem_blocks_PID27_20251125_162020.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 25-11-25/PID27/enem_blocks_PID27_20251125_162020.csv,20251125_162020,2025-11-25 16:20:20,True,True,socio_PID27_20251125_162020.json,
PID028,PID028,enem_blocks_PID028_20251126_101725.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 26-11-25/PID028/enem_blocks_PID028_20251126_101725.csv,20251126_101725,2025-11-26 10:17:25,True,True,socio_PID028_20251126_101725.json,
PID029,PID029,enem_blocks_PID029_20251126_122029.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 26-11-25/PID029/enem_blocks_PID029_20251126_122029.csv,20251126_122029,2025-11-26 12:20:29,True,True,socio_PID029_20251126_122029.json,
PID030,PID030,enem_blocks_ PID030_20251126_140643.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 26-11-25/PID030/enem_blocks_ PID030_20251126_140643.csv,20251126_140643,2025-11-26 14:06:43,True,True,socio_ PID030_20251126_140643.json,Filename contains extra space before PID token
PID031,PID031,enem_blocks_PID031_20251126_161805.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 26-11-25/PID031/enem_blocks_PID031_20251126_161805.csv,20251126_161805,2025-11-26 16:18:05,True,True,socio_PID031_20251126_161805.json,
PID32,PID032,enem_blocks_PID32_20251127_120756.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 27-11-25/PID32/enem_blocks_PID32_20251127_120756.csv,20251127_120756,2025-11-27 12:07:56,True,True,socio_PID32_20251127_120756.json,
PID33,PID033,enem_blocks_PID33_20251127_142019.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 27-11-25/PID33/enem_blocks_PID33_20251127_142019.csv,20251127_142019,2025-11-27 14:20:19,True,True,socio_PID33_20251127_142019.json,
PID34,PID034,enem_blocks_PID34_20251127_161957.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 27-11-25/PID34/enem_blocks_PID34_20251127_161957.csv,20251127_161957,2025-11-27 16:19:57,True,True,socio_PID34_20251127_161957.json,
PID035,PID035,enem_blocks_PID035_20251128_102111.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 28-11-25/PID035/enem_blocks_PID035_20251128_102111.csv,20251128_102111,2025-11-28 10:21:11,True,True,socio_PID035_20251128_102111.json,
PID036,PID036,enem_blocks_PID036_20251128_122743.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 28-11-25/PID036/enem_blocks_PID036_20251128_122743.csv,20251128_122743,2025-11-28 12:27:43,True,True,socio_PID036_20251128_122743.json,
PID038,PID038,enem_blocks_PID038_20251128_154223.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 28-11-25/PID038/enem_blocks_PID038_20251128_154223.csv,20251128_154223,2025-11-28 15:42:23,True,True,socio_PID038_20251128_154223.json,
